INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 156	Loss: 1.47461998462677	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 157	Loss: 1.8554414510726929	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 158	Loss: 2.091120481491089	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 159	Loss: 1.8655824661254883	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 160	Loss: 1.6506556272506714	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 161	Loss: 1.6244384050369263	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 162	Loss: 1.4498323202133179	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 163	Loss: 1.8267858028411865	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 164	Loss: 1.7535388469696045	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 165	Loss: 1.9241968393325806	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 166	Loss: 1.8006798028945923	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 167	Loss: 1.4314526319503784	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 168	Loss: 1.936755895614624	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 169	Loss: 1.9585057497024536	Top1 accuracy: 67.1875
DEBUG:root:Epoch: 170	Loss: 1.8315211534500122	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 171	Loss: 1.7801365852355957	Top1 accuracy: 67.1875
DEBUG:root:Epoch: 172	Loss: 2.23480486869812	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 173	Loss: 1.992018222808838	Top1 accuracy: 66.40625
DEBUG:root:Epoch: 174	Loss: 2.121100425720215	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 175	Loss: 1.9518312215805054	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 176	Loss: 1.388980507850647	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 177	Loss: 1.7873324155807495	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 178	Loss: 1.4932518005371094	Top1 accuracy: 65.625
DEBUG:root:Epoch: 179	Loss: 1.8986917734146118	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 180	Loss: 1.5808075666427612	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 181	Loss: 2.0090792179107666	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 182	Loss: 1.7116694450378418	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 183	Loss: 1.5383440256118774	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 184	Loss: 2.1751883029937744	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 185	Loss: 1.6135554313659668	Top1 accuracy: 67.1875
DEBUG:root:Epoch: 186	Loss: 1.9948354959487915	Top1 accuracy: 59.375
DEBUG:root:Epoch: 187	Loss: 2.194734573364258	Top1 accuracy: 62.5
DEBUG:root:Epoch: 188	Loss: 1.691798448562622	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 189	Loss: 1.5996077060699463	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 190	Loss: 1.7883777618408203	Top1 accuracy: 61.71875
